Year,CPI Clothing Index
2000,101.1
2001,101.3
2002,100.0
2003,97.2
2004,96.7
2005,95.4
2006,92.9
2007,92.2
2008,89.2
2009,87.6
2010,84.1
2011,83.6
2012,82.8
2013,82.2
2014,83.1
2015,84.5
2016,84.1
2017,82.9
2018,83.9
2019,85.1
2020,83.3
2021,82.0
2022,82.2
2023,82.5
2024,79.4
